name,id
22. Status Of Hope Hiv/Aids,cy6PHdmRUKx
23. Tetemesha Cbo,qPENmHDeoVv
24. Kanyariri Social Life Programme Group,SaURhsnc14x
25 - 34kgs,UGjxxqW2VOR
25 -29 Years,gP1moPZ6EON
25 to <30 kg,pU83TJoz1BA
25+yrs,AQ4nw4g4ue1
25-30 yrs,fuVJS7zMpqD
25-34 Years,z5BagUwHuRv
25-34 yrs,qpHG94GCO6K
25-35,vxQ9NiY79KU
25-49,OZvcdLevgHp
25-49 Years,kk5wY9Oy6lf
25-59 Years ,jRO27IBaAHc
25. Muthure Organisaed Yoth Group,J6VSLmMnMHT
26. Victory Of Hope Cbo,y39SiJp0zWh
27. Fountain Of Joy,Sk4cmSaG1jw
28. Nyathuna Plwas Cbo,UYrWwvDyfGt
29. Ndumbu-Ini Cbo,JvZJMdEjd7I
2M Gakaga Cbo,seKBixBgDng
2nd Dose,oklCH5PsLv9
2nd Dose ,RiQES3PnrPL
3,iGU7jqtBB3J
30 to 35 kg,n7IW6hLMRjZ
30+ Years,doUnUl1C7RD
30- 34,gXyczlZdxmv
30- 39 Yrs,NWNqcdWLr9h
30-34yrs,bcsNigOCqvx
30-45 yrs,BWNzz1Pxm71
30. Nyathuna Sub-Location Churches Alliance (Nyachwa),j4oLcB5PKFf
30000-50000,Tbt4cbPT0A7
31. Rocker Theatre Cbo,bs16Xz0dk2z
32. Githunguri Gia Gicamu,WW7laLMGtl9
33. King`Eero Volunteers Hiv/Aids Cbo,k66gxbyR97V
34. Kamuruga Cbo,ijkkjyFnzvc
35 - 45,bcinRPuZzAO
35 to <60 kg,QM8amsTFECl
35+ kgs,BeF3TueJkRD
35- 39,kleR3uNdtz5
35-39 yrs,ZX3be8gtAz1
35-39yrs,OHux0ygSf1o
35-44 Years,ThvJRCe4Y9V
35-44 yrs,fUEAYLu0F4f
35-55 Years,FmkNtZziSfx
35-64 Years,emf3UFm9D3U
35. Day Break Youth Organization,awUdsd2ep2v
36-60 years,HYPFw41Jz7B
36. A.C.K Gathiga,uV8MNmhrBMd
37. A.C.K Kirangari Hiv/Aids Care And Cbo,WKZQ7IyZg4d
38. A.C.K Mwimuto,WNppIY2WPii
39. Nyumba Nene Cbo,F8UXDaTXFje
3Gm Rocket Stoves Builders Cbo,oQi966qUHxQ
3HP,dWsrdN6UMB7
3RH,vltcfouH1Ut
3U's Welfare SHG,WygeU4yZOyo
3rd Dose,OTe3L3wxKd9
4,rEQ3Mp4YMxZ
40- 44,RJLiDSryh44
40- 49 Yrs,AFG6i8i3cHf
40-44yrs,OgXZmeEocKV
40-55 yrs,RbyKdqWZxcE
40-75yrs,u8wGo9Fw6Nw
40. Better Poverty Eradication Organization,bqnv7yxMvTJ
41. Sarit Cbo,qTMfemgY2y2
45 - 55,f1xcQXXmyLf
45+ yrs,t3S24eM28EL
45-49,vNuisvOAjBx
45-49yrs,p3ZnBurKBi7
45-54 Years,SnJ1LLafuwH
45-54 yrs,r43CpuJr4Y8
46-60 yrs,ziARXLvWyPP
48 Shg,SQuYecCm8NB
4A Ugenya Women Group,d2xJuf27wSe
4K Plwhas Cbo,SHRICdQlTzg
4th Dose,tUXRA4BRKuW
5,S1zCbB4QdAj
5 - 12yrs,QWxnxFjGZLd
5 -14 kgs,FG2xxPyD2lF
5 to <10 kg,q33msA7ZORH
5-14 Years,nNWwOOunb9E
5-14 Yrs,ThU6l1RWPPX
5-14 yrs,Af9szPbltXy
5-14yrs,LnVYScvKsQS
5-15 years,ACejlaZlEJY
5-15 years (Negative),W8oBEEp4j04
5-15 years (Positive),CQ2stlYi0Fu
5-15 yrs,tuLJTeWfNrh
5-19 yrs,eRCLsZQK15x
5-59 Years,rCSKBQ58bsf
5-9 ,rB93RbZGoM6
5-9 yrs,rCJhhq7Zyzy
50 Yrs and above,GkJ7Mvxwg0b
50 years and above,vNMPGPnMNpF
50- 54,wRyrpAmW16a
50- 59 Yrs,iIv9BIDG5zS
50-54yrs,dAwEU4UuCsk
50-64 Years,UVDoWzz4pRD
55+,LCkIofVe7aW
55- 64 ,zyj5k0WTt5W
55-59yrs,H5tDep8W2x0
55-64 Years,fSjB38L4UsQ
55-64 yrs,bYwaR1tvFnI
56 years Plus,LCCGX0DCgtR
56-74 yrs,NSPpghqsWij
58yrs & Above,QPFcQF5syBm
5<16 yrs,KK1wS6ms2BV
5th Dose,Ag9DBjfy6k2
6,pKLK5izeUPd
6- 14 Years,rnqQYVvGYjj
6-10 yrs,ha8k8Wn4Nmr
6-12 Years,PcD1Vr4QuoX
6-14 yrs,v4DH5ONyokX
6-18 Years,p8iArzizROt
60 and above Years,LLLyZduW5Uw
60 kg+,FjYlA3JWvaH
60+ Years,B3yAMRsTbKJ
60+ Yrs,OiaNlIbFwjc
60- 69 Yrs,ZNtzBSJtmUg
60-64yrs,yMP3nV3CyrZ
61+ yrs,Jjr8jGf4ZJ1
65  yrs,QeP0hFI0xWD
65 Years and above,zrt4dyuZKjk
65+ ,tKbHVAfVyoB
65+ yrs,wPU4ZnkLPlm
65-75 yrs,v3SJdRLXyMp
6H,RGdrBoucCdl
70+ Yrs,X455yehuIkG
749 Total Isolates,zgqYGo7ID7W
75+yrs,OaMZyHgP0FP
751_NK,bjxddZeLxp8
751_No,nP2RhgpJIjd
751_Yes,ilLmSicAC69
< 1 Year,aPAFiQlJPfi
< 10 Yrs,AVBgahuPzXQ
< 16 Yrs,W8ZsT8ZNuPw
< 2 years,xp9vWEGTE0U
< 5 years,Ys1RLPVQ7uT
< 5 yrs,LzYsxgIzuR2
<1 Years,jpW6omXAvOS
<1 yr,osorhu6qpIk
<1 yrs,cMwfGczRA4D
<100 cells/mm³,xNHmZlnDJwy
<15  Years,UzzP52oiEM8
<2 years,CTkSumMY5ll
<25,OOSwjGShTC5
<25 yrs,AefKl8gRgtz
<2year,ti49f3fSuX2
<2yrs,I9G69sP7zbj
<35 Years,ahRNfQKxQYG
<40yrs,PBcoJR1mYrT
<5 Years,FxtevVXEG4g
<5 yrs,WdIUdUWDVJZ
> 1 Year,zMYt9aCAszd
> 16 Yrs,URq1PMrl9ob
> 2 Years ,uEzEtDez3Yp
> 2 years,LpgY3QctpNL
> 20 yrs,v3ixvy8xS3J
> 5 years,Ce4MXlOFsWM
>1  Years,PILZjvLWhyA
>1000 cp/ml(Log₁ₒ 3.0),c36ip0jpqUk
>15  Years,WPftYKHRrV3
>16 Yes,BGlEtji2wkm
>2 years,FYlBHC01Tc5
>25yrs,n4MbySmLwC3
>30 yrs,deUGvqizQiM
>5 Years,QVlo3E5Neow
>5 yrs,vRRj2zf0Vo3
>60 years,A8qNbtQc3Js
>75 yrs,c6dQWDCtqdh
>=36 years,yoB9Jld2kIn
A,TUSHbkPrTbH
A Man Savingand Credit Society,d1WmX4Znzyp
A.C Kiramba Disability SHG,URFVbRwpLjH
A.C.K Soweto Sasa Kwa Sasa,x6aZMgCeBox
A.I.C Cheptebo Rural Dev.Project,oMpt919b9sM
A.P Welfare Group,OBTknPxabbz
A/Kiongo Mukiria widows women Group ,fY2LROUoWaO
ABC Kaiani Quick Group,JniM16cKrP4
ABC Syongungi CBO,PjEdPBFcfXA
ABCs of Sex Education ,ggFkLmBX8md
ABCs of eduation,OQXjjZ0PGL4
ABILITY MISSIONS DEVELOPMENT ALLIANCE (AMDA),J5kJEbr5Bmw
ABS of sex education ,abovFJXdSmr
ACK Doe OVC Program,HyLkIcU0NtO
ACK Namaindi CDC,B6BSMl7zhdZ
ACK St. Andrew Soweto CDC,JAZ1Exq242R
ACKNIDP,ItpvsIiKuH6
ACT,f9nNrul2T6b
ACTIVE YOUTH COMMUNITY INITIATIVE GROUP,OWLkTA6Tp0O
ADEO ,AOvSPO6e5Bs
ADIARO WOMEN GROUP,rU3EZ6VuX3J
ADS CASE OVC,gBmFQEZU3Fu
ADS Pwani,LBMAD6oJXj4
ADSCR/NRIDCCS,peJ2FQdmntt
AEFIs_Anti Snake venom,BICaM6SWLOU
AEFIs_BCG,JDIhGuhSW3z
AEFIs_Bivalent oral Polio vaccine,Ggjeqx7FZbk
AEFIs_COVID -19 Vaccine- ASTRAZENECA,vFgrNiyDQLv
AEFIs_COVID -19 Vaccine- MODERNA,OcC36YMZjOx
AEFIs_COVID -19 Vaccine- SINOPHARM,UD1fwKuNqCZ
AEFIs_COVID -19 Vaccine- VAXZEVRIA,KqEYyOig22K
AEFIs_COVID-19 Vaccine -  (JOHNSON&amp;JOHNSONS)JANSSEN,iFtQ1SKISdD
AEFIs_COVID-19 Vaccine - PFIZER/BioNTech,n1A1wSO6Xoc
AEFIs_COVID-19 Vaccine-SPUTNIK V,ebdBuGJVBwL
AEFIs_COVID-19Vaccine-COVISHIELD,KOPJg2DGLV3
AEFIs_Hepatitis B Vaccine,OtK190oqVLU
AEFIs_Human Papiloma virus vaccine,JrgZAg8CtHj
AEFIs_Inactivated polio vaccine,OLPgpvVl9uZ
AEFIs_Malaria (RTSS)Vaccine,fCvL5tvqqWy
AEFIs_Measles Rubella Vaccine,W6XYw1eLcjc
AEFIs_Pentavalent Vaccine (DTP-HepB-Hib,FppIlbqwcan
AEFIs_Pneumococcal conjugate vaccine,QFBpKDqWoIJ
AEFIs_Rabies vaccine,s6wqhGXFmFn
AEFIs_Rota virus vaccine,yJq9b2PTtBY
AEFIs_Tetanus Diptheria Vaccine,MCrhv8YRsm2
AEFIs_Yellow fever virus vaccine,t2CECCbBWbo
AFAB-Association People living with,XSKlHBnjzpN
AFRICA MEDICAL REHIBILITATION & SUPPORT FOUNDATION (AMRESFO),ERzOnqwBRAv
AFRICAN GENDER AND MEDIA INITIATIVE TRUST,HlFUOgZ3ijr
AFYA UHAI CENTRE,CufTdXyQEsB
AHF Kithithuni Clinic,SsQNKkogYFk
AIA,xoiimzB2eFm
AIC Olesharo CDC,AcSnDLBWiFS
AIC RAVINE O.V.C,MSyM8751Kc8
AIC RAVINE OVC-FBO,wYI2p6zsN7d
AINABTOMONO WOMEN GROUP,JFy3UlnAo20
AINAPNGETUNY CBO,G0juAPLPALO
AINAPTOMONO WOMEN GROUP,KvCOyCRfimj
AIPCA NYAHURURU MUN. YOUTH GROUP,el2DWg58MmU
AKIBA HAIOZI SHG,HRbw7sm5EEh
AKITATAM CBO,B5dytBnoC37
ALDAI CARE SUPPORT GROUP,iC6zm1GqNwq
ALEED,CbyT1nNnnbu
ALFA women group,St24FlEw4JE
ALL Adult Negative,DasMLBBR8fv
ALL Children,FXFWhkxOjij
ALL SAINTS MOTHERS UNION,DKbuJMhRSyM
ALRAZAK SHG,HOmoAKUmwhI
AMANI CARE AN SUPPORT GROUP,eXC3paU8dKs
AMANI JUNIOR S. GROUP,JA6sSLdZiMn
AMANI NJORUA S.H.G,X21boBv0ljd
AMANI SIPILI HIV PROJECT,C4vQ4CmeMRl
AMAZING STARIZE SELF HELP GROUP,tNlrSHtSONs
AMBASSADORS OF HOPE S.G,eVW7YZVjGgP
AMDA ,f1GXIu5hhP7
AMENITY,PCHMx40RXdg
AMKA ARTIST,AxTTrkYDyNN
AMKA SUPORT GROUP,qJB891ST1C0
AMKA TWENDE SELH HELP GROUP,Cz0HXnZJT0o
AMKA TWENDESELF HELP GROUP,nAEWJuJTBny
ANC,HevlcL33C1S
ANGLICAN DEVELOPMENT SERVICES CENTRAL RIFT,Pvp9mcudnrS
AP WELFARE SUBUKIA,QvrpvXZvF5r
APHIA PLUS Kamili,yVctal1bI5W
APIARO WOMEN GROUP,dkiD6Od6mDc
APOSTLES OF JESUS AND MINISTRIES ,be93uRwg4IF
APTDC,pUwZUwjGBlY
ARAHUKA IFED SELF HELP GROUP,D8KZA1vgHKW
ARAHUKA WIDOWS SELF HELP GROUP,N6JAtfhmotI
ARISE KAPKURES,W9XircLGUQw
ARROKET TUSHAURIANE SUPPORT GROUP,HosKh0rDs2a
ART  initiated,R6eNaK5CJTw
ASAKI ATENI SHG,WTeXPXHttq9
ATOTINGAS HIV/AIDS AWARENESS GROUP,BWMilCzFCnU
ATOUNOS SUPPORT GROUP,RdD3IHVbkIm
ATUKOR SELF HELP GROUP,EOznLAdpjzG
ATUREI SDA YOUTH GROUP,SNrP7bMwT5s
AVENIR MWRA,shOknBHHy5F
AVENIR WRA,Mk0YTjZcYfT
AYUBU Orphans/care givers ,Yof20lVWGfY
Abaane Women Group,AWVcJZIJGYI
Abachuma SHG,a6CXIzxOgwB
Abaele Women Group,PglOy3yzGik
Abahabini Women Group,KyouvSjXNR8
Abajida Development Group,SRJnbX5zwgK
Abakherana Nadero Community Support Group,oFJHqF4304z
Abalimi Self Help Group,XJPzgW9OAFF
Abalomandala Development Foundation,UWgXIKQZnCN
Abashora Youth Against Aids Group,YedpWxC0Lx6
Abebulwa Youth Group,nQ6z3aYByhY
Abeingo Women group,d0iEx5Hv2Tb
Abeinia Support Group,cQnpDStU7N3
Abekun Self Help Group,HhfbMbTQfUI
Abent,n9JzoE8MTSI
Aberdare Progressive Cbo,H05ZSkyW0Fc
Abidha Plwa,vLPM7AXbIQH
Abigael Care Community Based Organization,kD6vBgJzlxY
Ability Mission Dev Alliance (Amda),ICi2GLqeVne
Ability Mission Development All,Sf6nOm6OhoV
Abnormal,tENm4Y82vgN
Abochi Chemaluk-,Yshf7n8O5qa
Abochi chemaluk-,eTInqCnM1Jg
Aboloi Ataaba Akisisia Women Group,qMNa5vnTLnh
Abonyo Self Help Group,zmhAHqtQIkj
Above 12 Years,PCbKOdgOZIC
Above 2 years ,pCSeCikRUnB
Above 3 Years,JnbFJ22s5Tb
Absconded,fSkEN3OnVvd
Absconders,jgIRPeh95KT
Acacia,wI4njVgw8Cz
Accy Post Test Club,b7F8EDtuROM
Ace Africa,FbQxWAbiekG
Ace Africa Kenya,GU8hs8YQjGn
Acera A Mbari Ya Kagera S.H.G,VWrj8v6idLG
Achiever Disabled Youth Group,tM1CmQekjnJ
Achievers Disabled Cbo,zvHReBVOYzO
Ack /Trdp Prog,bYdbteOGyqW
Ack Church Rafiki Cbo,BJNRoSexgRW
Act Positive,E4TaI1nHjhX
Action Aids Control  Group,lX773KxF9oR
Action For Empowerment Kenya,MYbjZazd8PR
Action In The Community Environment In Africa (Ace-Africa),wgWybdfRANt
Action In The Environment In Africa,kH0yyubT2P2
Action needed,BlHYnxQpFEM
Action youth Group,EHZlCw3btC5
Active TB Disease,h3TMlmY2ElT
Actual,fNqVf7y60vt
Actual (Available)  Number,joIiyLA9JaB
Adapt/Alcohol D.A,cg8Xuip3tNg
Adela Women,ufRBzrb9woh
Adherence Support Group,RRrRsbzgWIA
Adhuhuri SHG,XyNZwFeJnJN
Adiera Multiplication,txF2Oag2HMz
Adik S.G,qe2kYo70rln
Adjusted Consumption,PJa5tcukYRn
Adjusted Consumption - HF,w8w0zqx5CGN
Adjustments (Borrowed from or Issued) (In Packs),Q6JuUN8XS7Q
Admission,cMZUkX7umee
Adugo Cregivers Support Group,oEaNwf1sGqQ
Adult,tnwQUddGgos
Adult (Positive),qW2cA1CJaeJ
Adult >14yrs,lyMF0y2rUCO
Adult HIV Negative,TVZzxPk5tDu
Adult HIV Positive,sQPnGY50zET
Adult PLHIV/15-17 yrs,rsvmQJCdhWX
Adult/15-17 yrs (Positive),Otz9qiwooEg
Adults dewormed,VGLqZqGb8bX
Adumai Kolait Akisisiaun Women Grp,e2hJgrkt4WB
Adumunet Women Group,CcPYpRrKFGN
Adventures of Warriors ,nxO5sQ7CnDi
Adverse Drug reaction,hvhtDh0U1ZP
Aegis For Development Group.,YTBBBYIGRWb
Aegis for Development Group.,XgzOQlal7VB
Aera Gi Kwe Women Group,aOJf5oeHmly
Aesiah Cbo,NJdmuZsMpvF
Affi Youth Group,QNCuJAh3nd6
Africa Centre For Leadership And Missions,yroemwvh39D
Africa Hope Centre,ADq0HSDReT6
Africa Inland Church,WQWkKmYQeXD
Africa Medical Rehabilitation And Support Foundation,N2Iv5RqfAwt
Africa Rural Link,FA79oVoV0pW
Africa inland church,nrF5skm07oE
African Child Development Organization,kRQ6b44Hj4m
African Christian Mission International,JvOKL7ht02m
African Development & Emergency Organization,AbneF2CmpsA
African Development and Emergency Organization (ADEO)	,TmdYZLPsLI6
African Pro Poor Tourism Development Centre,GWEFE8eJg78
African Word Development Organization,o2bmxPutfrv
African pro-poor tourism development centre,MLUufBVIeg1
African-Propoor Tourism Development centre,XmhmEzyFhEG
Africana Divine Church,yEgOcFaiueZ
After Contact with Patient,KZvYLlAm18c
Afya Bora,Pe6nRSuu97k
Afya Bora Community Health Workers,wGtLDnZTH7X
Afya Bora Group,UUKbjRfwwff
Afya Bora HIV/AIDS Awareness Group,mzkdD0AB6m0
Afya Bora Shg,Xy57duFaoQ3
Afya Bora Uruku Cbo,HTdSWfSPbHV
Afya Isilale,DaDtm3BSzJE
Afya Kenya Foundation,W35CiMUPctN
Afya Self Help Group,PwifUYelUcS
Afya Support Group,P9k3Yn6kD8t
Afya kamilisha,MJKHyPwKoLU
Against medical advice,GgeTbyt35vW
Agape,LMisSiTnzcv
Agape Development Ministries,TqRNs5psDgL
Agape Faith Ministry,pxxJpfD4BpR
Agape Fugo Hiv/Aids Fighters Cbo,xbJB8AdArWZ
Agape Special Group,VEQHAqmKI5D
Agape Support Self Help Group,IFEFCHjB3sz
Agape Vision Cbo,GwZmeyW2wOI
Agefa,nOdiBfxfd48
