"Data","Period","Organisation unit","Value"
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","BNcX5e9pXoY",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","I1uyMohbaUS",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","Jjb1kjRRNMD",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","cLo2mMOlSkq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","FHRzDPLEc8g",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","JXcyxGXlL9O",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","kWww1M8MQU0",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","mYGP2LTHyVt",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","F3k9ivnAAx0",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","HPFo1QW4oLC",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","mr3btxzpInp",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","vJJ8fzoBH59",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","eGjvGSJ7lYg",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","IXiFtNKHo5f",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","VGqblUm6NXe",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","DsPV049gpi5",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","EtY6KwqmuDN",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","QXYRGaSfPBL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","o9AMQqGD3kh",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","mubdg2NphtL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","NYrnyA8fSRL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","ZewCoggKllt",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","iF7ll5RrliT",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","KlIUb43De6r",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","y9NPlbSzS5j",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","aVpKyAcSGhq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","DzJW2RGOecN",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","ZgoaGXYlUAa",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","LLYL3dkDB2P",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","uFkkpCAauQz",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","EVHvRDDd0qb",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","yJxRzQMSaxG",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","xcPoUmNUMhX",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202310","GHwNJfuKAmm",1
