"Data","Period","Organisation unit","Value"
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","mubdg2NphtL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","OQfegQt03Jy",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","y9NPlbSzS5j",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","K4MH0IJvNEZ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","WzkeCX9NJHS",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ZopyzIY1OWy",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","AvzELEbLhhW",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","o9AMQqGD3kh",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","aRaEsl6oN5L",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","f5n9NJqqSJD",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","yJxRzQMSaxG",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","cJj1RtwV3o8",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","HPFo1QW4oLC",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","IXiFtNKHo5f",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","L4GDNxHEvSK",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xIygblk3gKy",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ZgoaGXYlUAa",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","aVpKyAcSGhq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","KlIUb43De6r",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","EVHvRDDd0qb",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","arDVLu1shRK",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","FqsoLjbSI9A",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","kWww1M8MQU0",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","tlcvZ4jzPwM",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","qFXcvDjjSyg",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","yX0Xd0FD2Cd",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","cksqvEeOLiY",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","DsPV049gpi5",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Fk1S85dPlhJ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","V7k7JTgan5O",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","yk52nyJ5L27",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","zqnOeXh28et",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","wgWlZhxXfS5",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xYVh11058m8",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xcPoUmNUMhX",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","LZ0GJkEFnoz",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","l1IP57DOi8O",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","UpuCF40GAfx",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","mYGP2LTHyVt",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","gPrQghXBO2T",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","FHRzDPLEc8g",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Yy2qQLUfI1p",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","I12ueCqFUQG",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","NYrnyA8fSRL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","R33eHkbAdIu",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ZlQBKMyBkpM",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","zEsCyTt10nL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","s0KfIcXWa0t",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","KdEKXFFs53b",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","eGjvGSJ7lYg",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","mr3btxzpInp",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","FngMGENEYmy",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","DzJW2RGOecN",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","d7AJbIbDVRO",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ZewCoggKllt",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","vUatEiL3txf",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","enpHfETZx3S",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","RwspKags72S",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","J92hsLeBV21",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Jjb1kjRRNMD",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","KilcfFNdFJA",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","MKQ3w5IUilj",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","BNcX5e9pXoY",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","I1uyMohbaUS",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","TkAutZiYG0q",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","HzBzcd6qbm9",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","zxXNbaWN8jn",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","W14cuna7j89",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","K8XbpLcSH7K",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ax2Wmfuvq4l",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","fTrYkm9xOD3",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","HUrZdqgkpdv",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","QCgPeQ0XSzz",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","BYXiwFP8CcL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","LLYL3dkDB2P",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Th3s2CElJl9",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","iF7ll5RrliT",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","KprzFUDG8rA",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","VzgTcqN6qHx",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","a4TFhgCyJMj",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","zHpyCh1H2nt",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","VDr1OojYAjX",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","yaq6ynfKVrN",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","bcUwAhP3wRu",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","iOtmyIoDd6i",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Fjn2JbWCdjZ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","qAc4WUI4EIi",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","PZGw0SO7WBL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","B4kQC2XrfZA",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","VGqblUm6NXe",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","ZhLMW5vxOrJ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","F3k9ivnAAx0",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","lCryEYPFtw5",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","O6vTdQ8hQL1",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","bm0xjIsElOx",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","i4fTp6jed7g",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","hVOEvLLuWx6",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","QiXeOXMmlX0",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xVCZwuNnIRv",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","cLo2mMOlSkq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","QXYRGaSfPBL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","EhitbZF6Mkc",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","TvQQht1n3MH",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","LR3tTMOjg7J",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","eaLhacXYx8a",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xw1UwHOJVS2",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","O2EIvcf2efM",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","lKfPapE2csw",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","aRra73cnf4S",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","MSY6VWzpz04",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","sx0F3tF3i6G",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","FgyGjKwN1Og",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","pHw3J26tCvv",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","mhhx85Otlwc",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","iVcHfvdHPN8",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","vJJ8fzoBH59",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","GHwNJfuKAmm",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","VIFQ1jyMX4e",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","nrnRWeXKBSc",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","OlwzlLibvzd",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","VxUYvgLEtP7",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","cG7JFxV67nW",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","jWJYVD5TYkn",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","dF7Qw5e8Xh4",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","TpILSUucrQK",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","nNxsnNursRY",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","DsxulHtgQH2",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","BeJEeWMM0eF",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","LCELVppoBvS",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","PT75zARZCnz",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","jWjqLpmqweB",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","SCdE9Qhi5Gr",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","P8fh0hd9tFd",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","KLqw83k9f3D",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","kBQGc0YV8Nk",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","vWZQ6RW9L6N",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","xlpkJEXcIDZ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202307","Kp2Kfseofdd",1
