"Data","Period","Organisation unit","Value"
"mVRzpvT29MP.ACTUAL_REPORTS","202305","hU0HsTvk8eo",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","aieKIZAJiJv",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","G8avY4Gzra8",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","Wj1gBKsF1lB",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","n4rUR8alV2I",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","EPAB7cFMg8F",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","MDoP17LtqAC",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","B7uMXQhtT6l",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","t1Pp8rHH3zS",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","tGWDiA2vavY",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","fs0p5MurBkl",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","rBpHuIapB7j",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","iM48NtgCfPO",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","wPoz7tDb3nG",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","zk1TORIw5Vg",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","hVc9GNgGPYF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","MtkJksSQ387",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","VBjJasa8Ln3",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","uhuTgMdpGDx",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","CVE6tCrr2nr",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","gYaEWAxDwbL",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","JvlC1RFRgnA",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","Uq2KhRlVrEt",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","h8nvmdi2GSQ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","ySJxoRMN3tm",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","E30aVzHdBRU",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","ZhUKq5RvX0F",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","dx6XwBdUB2q",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","RPTlLuK6ql7",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","GBhUzlGBAgx",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","iKAnCP0fHW9",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","pxVEDuzCS0I",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","XjtlbqaZVF0",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","ojdsW3HFt5P",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","hCYugmQzcUY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","bLeCBUFM3wP",0
"mVRzpvT29MP.ACTUAL_REPORTS","202305","niedF4o5ctT",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","zDTYbZSik0N",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","k9ixR4fRDnD",1
"mVRzpvT29MP.ACTUAL_REPORTS","202305","GZfphLYnupO",1
