"Data","Period","Organisation unit","Value"
"mVRzpvT29MP.ACTUAL_REPORTS","202311","xaQ9Z2jrxRM",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","cMSG69NgPp3",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","PLfpza8Zh9N",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","wp1BC640fy6",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","xpXgPL892GT",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","ER9BOdawZcT",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","fb6IuqPC7fr",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","oFxoGR6nj0P",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","eZ1lHxSAjET",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","zDGztuhkhx7",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","tHvPXKLObim",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","vCIs8c3Q975",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","M3YycknfNBU",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","crwMVmc9804",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","tENZF6BO4Q7",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","fB3xG06tgRu",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","ZxV8XqgDgSE",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","O4uGSh851cG",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","uPPY2OWVTlo",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","XdmsyjZT77E",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","y4UeLYVmWHZ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","FebaIb9iFnK",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","cGzjKsYpqqD",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","mfkFWNnJ5AP",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","ngoiPJI72q1",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","ffIfsLKrhKK",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","CliTX68kx8H",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","UItLmkkqt09",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","p7wCM1JfI5d",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","qMNc3YVyu0P",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","wUd9cKV6EWh",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","yZi8q6XCExA",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","XFJGHlJp1AM",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","chknQGje7CM",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","c5oIJVPmQ7m",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","SqVZHXYcX8W",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","xrakHQdveKF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","NnRW3p4MPs3",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","eYC5O1VUY8H",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","HHg9KLFF9cu",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","by4cao7Jzol",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","Jw3wFc9SfsA",0
"mVRzpvT29MP.ACTUAL_REPORTS","202311","qvpYnC3UQ7z",1
"mVRzpvT29MP.ACTUAL_REPORTS","202311","kmEXAwkvnDQ",1
