"Data","Period","Organisation unit","Value"
"mVRzpvT29MP.ACTUAL_REPORTS","202304","JNBvE6WNpwA",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","iqlO7jG7v0B",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","mfkFWNnJ5AP",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ngoiPJI72q1",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","y4UeLYVmWHZ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","qvpYnC3UQ7z",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","XdmsyjZT77E",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","uPPY2OWVTlo",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","tHvPXKLObim",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","kmEXAwkvnDQ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","qMNc3YVyu0P",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","HHg9KLFF9cu",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","H1QJuMC0aKk",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","rVLDPAPrFsC",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","vCIs8c3Q975",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ZxV8XqgDgSE",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","LunYFWqFNiA",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","tENZF6BO4Q7",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","o9kXxzG2Bex",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","u8yQtOLKPvn",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","zE32IoXtVqM",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","fcY1fkS6bL1",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ugnMZzMKZdT",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","sTjTaryyIpU",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","xpXgPL892GT",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","K4rm7NBjOFp",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","CliTX68kx8H",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","crwMVmc9804",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","VJaFTjbLNoF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","jvB87WUXFeY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","cMSG69NgPp3",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","UD7IzkE8Kws",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","wp1BC640fy6",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","mxhSNH3OIJx",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","iAuQRWVoRpK",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","eZ1lHxSAjET",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","oFxoGR6nj0P",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","FjX69scm7lW",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","eqFz38zb73f",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","lnvRVrUEcv3",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","NxtPmGX4kQD",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","a4s2wKfJc30",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Kj2rML8tFk2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","wykZYTXhfB2",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","bMMsLqyrsmk",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","TGDQ4YJ1kik",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","UVAVSmgmLgj",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","XIIEtZGP1iY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","MnFD3y1T1GX",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","k086cMTy5X8",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","pUcL23obDlW",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","p9nvXd5axY2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","HGLQF59nCsF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","qUiL83rew0F",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","cXnMygNkNsa",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","cGzjKsYpqqD",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","LcbKtIpSxFP",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","bBexKx5c69z",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","wUd9cKV6EWh",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","LNSfbcw8qT2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","UItLmkkqt09",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ay5PGGqDcSh",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","OzmgYOzluXL",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","U5D1aA9Gu75",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","zDGztuhkhx7",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","BfvRU0y4Lor",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","RuVa3z3qxpv",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","jxrrGBOPSBF",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","fb6IuqPC7fr",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Hye6HfITIcg",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Xe7PwhMAt4n",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","o6V7c3jZW7n",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","arsnCibtzLl",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","JR47sh98qKk",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","PLfpza8Zh9N",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","IwDcBQwgbEg",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Yk9TzYY9P6M",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","PoxejXl56HY",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","rd0gE7FLPsv",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","LBMVkiN6Sgm",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","O4uGSh851cG",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ER9BOdawZcT",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","M3YycknfNBU",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","cSzox9dcQlU",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","zm4diHfhrfe",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","xrakHQdveKF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","vZKxumFv8bf",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","jSsqGE88rMQ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","NnRW3p4MPs3",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","kakrAhmSzrh",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","XMu4DpnN95t",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","eYC5O1VUY8H",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","r0QVOCbx6Rp",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ALISP5DsvzD",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","SqVZHXYcX8W",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","FWlciiBqhQn",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","chknQGje7CM",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","izA6A7pqMPN",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","p7wCM1JfI5d",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Jw3wFc9SfsA",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","GEtMpnGalxG",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","tH4jWfv5j99",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","X3m67s9fYES",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","c5oIJVPmQ7m",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","PMx59HJRUv2",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Xfwwslkpp30",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","AuPqWPxYz7I",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","TARVaBoypbj",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","EOwZKRgVff8",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","XnGVGDX5V6T",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","FIDsgV3ezn0",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","NPQi28ysDmW",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","tLVjdEE6IX2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","xi1IznQPRzy",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","WZ2xl9XTvw1",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","mz7QyEwYs6W",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ZBtoRProc6e",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Jq3sWm3tMJy",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","HqFDy2vEQz6",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","I43bAZBDUsL",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","r8z0MeOdroa",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Q1YHVG2A0U1",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ghAFXf6JkoY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","WRPRluyGpKW",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","sUbmMYlSxml",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","d96sBCgxXJv",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","YCfCQbidoRW",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","Bq9L3QREUFy",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","FUmxPkE1UYR",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ClVMQmETF4u",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","m3LmuT3zzVS",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","vn36KyrP17l",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","ETYKLHaZtuG",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","FiVYprOCJvG",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","hgw0Ex2Rcme",0
"mVRzpvT29MP.ACTUAL_REPORTS","202304","NgkwFloUQzn",1
"mVRzpvT29MP.ACTUAL_REPORTS","202304","m9uOfQmxGGw",1
