"Data","Period","Organisation unit","Value"
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","F8TWQkHs03c",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","IgabCFGuay6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Qwv7vHBFvMl",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","t68YwvegZ4I",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","EFWuy00kRUY",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","WXtLEIjHE67",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","pUx9e19epql",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","AHuZhKBDb4j",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","zgh2xKB6gUo",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","FYFa6uKr7mQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","DoFGg4toGRt",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","qZqNL79w8Zg",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","w8xDg970G74",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","jip8jPZ1s9z",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","FjlZjdH7xkn",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","E8uyiuF3BqN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","vkRR5MCQ8Q6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","yxRaSsGirKl",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","nmHHcE1kOsS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","XtG616mgatK",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","rH0fGhtYgxt",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","ynlcP2Jr8Em",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","zt33fI4VGe8",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","slLvfMOMmp1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","qGiu6ZID5yQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","wEpSe11za5V",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Gzs7DnjBUF9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","hLMDMOsAv6Y",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","L5rmXQQWAGD",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","QwwfA6dvS2J",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","APRSsUJAVrP",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","UcQFUPY1Lnd",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","yzlSJ0fyLHL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","y0kyyERURWh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","OochC7lpTbO",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","C5PLq7spOnB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Z2ZDRw5kZ1I",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","TXhsFr3T2FR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","nnQCgclxCj6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","mZ5dBUXvXqh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Wftkk5ibasq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","nLwTfjUggNS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","p0zbkFwLKIu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","ASAUuGai0dU",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","EqKWh16aOBA",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","VLJYV59FnS6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","avaaIAtXbtg",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","QmMFRRxxrNN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","KYc50Vep5A8",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","dBg9BxYylXO",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","WF04P1pRp2f",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Y1f78y00pe7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","GCf3d9mHavm",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","rzZIwUeo0VI",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","DgXP2ZhO0Hu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","egzyuOPDFCM",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","xLMd3GYGg3G",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","hIcGo3pW3iA",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","pZatypBkGGA",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Ba2Er6bAm7P",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","fuHWUdVeIZl",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","kGzUA2nCC7c",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","QWbjTYhsja6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","pAZkRgUBXe3",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","GmnUAmcCmsV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","OwrNk629bTr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","NMtE7XRIFzo",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","BbQdZEIQFV7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","zAs4m0LzAxE",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","bJxj094HsZL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","lIyqgLnaVsq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Og5UEnRkvyU",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","uWKMOuX8Su5",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","pQbOCejXkzR",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","P2DnIWxPQ67",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","cDH8mPvTrAr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","eyXz0Wdkbym",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","XZbxwvP3K23",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","Sv7XZqXiyCP",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","xPwNgDMeWR9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","tmOunpxPDt9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","jR0oibIbsr2",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","ke4moKRIpK6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","fS76SN2mDYs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","ZCBFPkBEQLs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","mYFHLhELsmR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","KspUHLtkHQK",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","kjaG0y8s2NK",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202402","La4FiUTG0Ed",1
