"Data","Period","Organisation unit","Value"
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","YYIW2AOXyhe",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","aQMd0BEjEoX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","GJTCGsBkDRa",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","WhbgdJpWPD9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Iya3kdsvW1A",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","aimjYESBTI3",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Oy12OVa3NVS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ehWIvgTwDHI",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","jkMVLieTB3h",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","fhUqSZR2MaN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","AadLaV4ti7l",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","AqLdqbmRxuw",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","MWyN3Yj2cNo",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","gu7JA8KMQCk",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","kB3a5DNtVlu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","s3QKPgXhbQh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ufLq017DMUR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","A7oMr08DhJB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Bby1Jup2Xv3",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","B5nvjZmEHdp",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","iPv9jLFSrBi",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","gX7mPV9tfav",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","sTiUirqu8zK",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","EUJpFi9eVHO",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Lhwah8M9CIX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","YSPee8KLHhq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","VGz3fGFdGJY",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","d01gae2jWRL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","TRGbZQfs1V1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","X1oLiwDSw9V",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","OJcIshxYgNN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","fUo2NrKCikw",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","h01C8P5M7cJ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xTh8putqWWS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","EhXoQVZxkNW",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","uEKN21efXUz",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","P4NLmfxMhof",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Fuwr0fXmNA0",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","pWR66wmbzpU",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","nDkRPBg2M50",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","HUsIFF3CxlZ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","nVn8hmKgjZT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","hxW3BziXi9a",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","x9Jr09a3JDh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","P0TgYUzeh81",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","lKZzfU0hOrW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","bX5nd5eRa7d",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","k0Wqw0x7F4V",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","kqTNTiqdUwV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","hTBe5wxcgar",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","c6udqJED2EB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","oc5gvs8WhFF",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","eOljZ3zFCf9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Ovvo8jxwudc",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","rI6NzfdIMPz",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","POzNBYNzLLo",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xU5jnRkab4e",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Zb9vfEOPJLP",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ZZNxSbbRSpF",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","CF5rXY2iwya",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","b8XTzumMN0f",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","acXTP4OkUTk",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","HLBR8Fm8NHq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","FGkaUMhNlgb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","qcbEOS2KIsH",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","MqTbpO3e1hW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","XdMJQuGitWA",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","hwIHYJWkZ6t",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","x6bSboDXpcN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Ru5RPDkbVTR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","DXDNAQjMolR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","gIzaIg3BD9v",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","gYOZ3AWlmxb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Cn1jEGMmoIF",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ZQT01wKQqiS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","glV510sZyh7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","NXGzLjdgyVi",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","CKXCsxmc0pN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","G26gYDAw5R1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","AgXw85ObcL2",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","VX6VBGYmux3",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","PqsRn07KCKv",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","vR7h8p5xmAq",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","MWWddpdCM6G",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Y0vBAH1D9Cb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","TqbJEX1FuGA",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Ny1Neo7owcC",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xnSadAYWvar",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","LDyJEraat5Y",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","kauG9umEjbr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","udgQU3mYjnX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","dsbD2Xdq2Zg",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","uco8xXZcBc8",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","zcimVankk22",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","M3R1UYPIuf1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","roHvB9P8Of1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","lqUH9qJYc2r",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","p5wxfCVqD12",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","rQH3dts2vpx",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","GMQYfoTujcJ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","musLWYtdRpQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ceVFaQAY27r",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ppOrCH3WtT8",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","oplIvLzxuNl",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Tkgo1tPTOv2",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","g5c1JPpqpsK",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","EFJlA5WV3NV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","d4NFizUECAu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","pnELrefcHxQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","epcssoJho5F",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","aZCS6UZRpdL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","cJ7oO2eGsGr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ZV2iIKpKltH",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xAm2ZjwZJjG",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","OCkGCPhF8Gs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Ew8Pj8GnjGv",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","vcH3RspchqQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","yz82FAm3ygB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","j4p5DgjNa7v",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xKMnsppaRLE",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","j1vx9bsgCAV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","TmUqDq9wyrW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","d2rzxeVcRN1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","OZbL7oZvsP2",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","PLczdqs5KKm",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","WRW1n62gXOu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Q4B9NLzJ8LL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","N7mqOdA1Wf6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","mGp56ViqmAj",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Jfpsre91xXE",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","nQpfownNCBk",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","qC7HoduXy9L",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","mYYRg95WnP1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","mzBw4T72sa5",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","XMR5SBmiJiG",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","giefgKS02Tb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","dijRu26g4EB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","GWVN2FkSrlB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Uvv85m35TMs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","CIBsrLHMOUb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","q7CeJl5wDlg",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","XeJ5kJzSBTR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","W3lwizAesBx",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","SAUzCOBQ0Qa",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","BgoiUUOTCXI",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","v0GRG4yvnRW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","KGS2JxXQta7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","TTydo7weKDu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","DEyGJyGHrsV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","OCir4GF9obS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Vn9yoMPnBg0",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","vi6T7toguA4",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","KOP1PjuP70T",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","YXZfHRCZIef",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","lNOoLAelIzT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","erI6vIYS76f",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","CHbzT0LTnWD",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","TuFK9gPsHo3",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","JJHQ16uTrPX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ikNx8fyf6bB",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","M2ZS22Q2sKd",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","gYIW9ejmSqS",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","egwIfdre3CW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","HrFWseAGXzN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Z65JvisTm4o",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","N33O5RbSwJs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","nG1itz04BkW",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","ctmM8hYmha4",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","t2EKhTeMUOr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","lqQBF4BxE1W",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","OSL5MaJMr1X",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","UDjLzocKru9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","qpHLI15nm2O",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","kIkn9YIz4Qj",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","y7y9nTpCXFe",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","XhrPpF0LTsQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","oIZuUIfXTCb",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","RkvcZ6tXfXh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","xgPQPj9wf44",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","byiQKX53PgT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","Lhf5atPasou",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","cFgYvfDB0wT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","QYhKgi9NMUr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","HgUWMWpA1gT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","brSpidcNdoF",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202401","DThwjc1ds5J",1
