"Data","Period","Organisation unit","Value"
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","HIEF04AulGc",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","LWoO0Z47tGZ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","hKvUlAHlVJx",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","pHA17Xy4wZk",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","A0Ln8q092qB",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","l65XDsgPPFM",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","Bmhbkq3ILv5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","oYc9S0YvbLH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","AoLY14VRdeI",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","sijQjq4rhfT",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","vlAHtzaxWSK",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","EPM7xKiJfmp",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","bGUaAhlsRqp",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","IKFlVZ52mYv",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","wWnSMqLNWOk",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","RpW4L3sZsvi",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","fvI2xOMWPza",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","HZHPAibW1iN",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","Y9yshydrsHG",0
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","Tc10F3JWnj5",0
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","EqBjedvUM2y",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","M5qf3Z9wnnR",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","OsLNNNF3nXK",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","GdO0m6msmUW",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","JGJUjti8pfg",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","WcObK0U8pXU",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","csRmTYlLYxQ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","wckIZmyWgBj",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","wW1Dk31v6BI",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","CfdoxJFZhw9",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","SZgImyX0tp9",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","bMbCQlZC30C",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","TJnBh1U3GEs",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","v9pOwfcvY7C",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","Cd0A3b9EpZz",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","ajXvRfmjYFy",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","GTJNpcbLvBn",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","ujApuVtZafA",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","UVO6t17NAk5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","i23GR6I37ID",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","REg5UDXlWWL",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202311","JsvfJlCCwqJ",1
