"Data","Period","Organisation unit","Value"
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","paXJVpz9TOS",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","WN8nDdz71ml",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","zbFGKpgLMlF",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","eWVz6Ym691P",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","u1GwmEW9bNo",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","vzRh9ON9ZsM",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","jNY1DdzbBDr",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","RYkVnE21MxB",0
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Pa9tT2RsExD",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","vbMUZbn9So8",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","GafyHF05Zx4",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","sNVr5pZoEuQ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","PQEdQtUcisb",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","JeuBdNUUREJ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","FlMDRiCxNoC",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","o4j8gkUbhnz",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","OmyOQTOHsOF",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","cIHhY1OzCgt",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Hz3BwMUktOJ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","St6XkFDXe8w",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","IT9A0y0Fhnm",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","APdt9R69Ycb",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","eGun696Qg8O",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","ZEPXu4MCbVp",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","AkY98cNzRUg",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","K9O95rcoVji",0
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","B7wL1eTAjDa",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","M5fvKeUiG2F",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","PjJrujKwMvY",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Z4h8itV1gpt",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","VXqTYwgQvHx",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","DwWnWJI4PTH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","FXG0lbYApRm",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Cl76IbPa084",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","KpXqE32Rm1d",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","MzR24BkRt7l",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","lZLtU9Xc3uC",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Kr5Vxuz1yLl",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Ps9kWPr86pD",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","X0HAKpTxMe2",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","h1vfrL3VwBq",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","vos6Yik0GSw",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","HVrpia1djh0",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","D4fYExYuVJ5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Q4h7yLoLe0G",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","jTfjpQwY6O2",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","xc5Gf81YH48",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","ASn0tF8X1Ks",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","LiRILs7mpgK",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","et67lpNreq1",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Yumj8lkVpKS",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","GsdR4nzQbYe",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","qqYLTXmBcnp",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","YCP7jFaj64F",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","q6gB716oESI",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","I7EGx6i3sON",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","VI8FnbLBPDD",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","pxlVNltvIME",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","gI1p2LXVLR4",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","H34vj3n3xhn",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","JFawTT0Jmxy",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","tTAHvMCQVS1",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","EUYcvXJDfgI",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","dZqf3vmMjm0",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","BD4MjPdzyUY",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","O9iiqr06g3S",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","DYuzChvbSKX",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","nNinROt25aJ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","D1sJppq7GNI",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","EDaq176ZPhK",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","rLTST5T975t",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","WQBUBXxXVe5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","rc8sxMGpgpq",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","U8sl0OVOZty",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","aB8dffITO0K",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Rt3EHoIgc83",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","GwLVDDMCfyU",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","BsaVrcCNnH5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","IIUvFyFanGx",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","aYVI5HIdbn6",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","dQnlgfrAj7g",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","bHv5fWNPV64",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","b3ZxAhtsLGf",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Tf4O0WuNjgg",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","MyAeZ7c1vVN",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","icSyYdS2PaS",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","PkLRGRtOY62",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","XdYpjzrtesB",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","H2Cpb3vTyOe",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","GSwYTDhk0qy",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","cDWVOPhvdMX",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","aVbXJ0Aid81",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","d86OiRCX1px",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","htORguqjmqN",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","sBJ6BcVOXsB",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","QFzvNbdPnYo",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","SNCOL32lKCU",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","YaFxkX8brbt",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","jk4O2UhUcOy",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","HWJjTSoITik",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","I4rhKKyqMjo",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","M74KfX3iuTM",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","tRNaL67wHjf",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","OjJ10SUoEa2",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","jEsMBGNPQiG",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","pdeMZ763jZ6",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","ffMpKnxJWIj",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","ROqzwEavHMm",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","YZx0PVkMev8",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","BpqLlyCNG1D",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","g0sbU1bhnzH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","kqKlyCbsS0P",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","lVLswpJFajQ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","hLbDRJpWwiR",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","HM8nsTQaO4V",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","VdppIFvYta4",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","DkaJxv6rD7c",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Apuzt6X31WX",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","qmZ0gpAyEdq",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","jueZSKNE0jw",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","VbYot2ROb2I",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","Q5AJ6hof4bq",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","vd6duJcAST9",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","HiqYRakSm4q",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","t0urLsXfeXM",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","yyKK9lkOEU5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","J3865NY4ur6",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202310","ovj4y0nBFTi",1
